Extension_Info_IdTuile;PositionStructures
Base_aucune_001;#######A##C##C#
Base_aucune_002;#######A##C##C#
Base_aucune_003;#######A#######
Base_aucune_004;#######A#######
Base_aucune_005;#######A#######
Base_aucune_006;#######A#######
Base_bouclier_007;VVVVVVVVVVVVVVV
Base_demarrage_008;VVV###CCC######
Base_aucune_009;VVV###CCC######
Base_aucune_010;VVV###CCC######
Base_aucune_011;VVV###CCC######
Base_aucune_012;VVV####J#######
Base_aucune_013;VVV############
Base_aucune_014;VVV############
Base_aucune_015;VVV############
Base_aucune_016;VVV############
Base_bouclier_017;###V#VVVVV#V###
Base_bouclier_018;###V#VVVVV#V###
Base_aucune_019;###V#VVVVV#V###
Base_aucune_020;###V#VVJVV#V###
Base_aucune_021;###V#VV#VV#V###
Base_aucune_022;###V#VV#VV#V###
Base_aucune_023;VVV##V#JV##V###
Base_aucune_024;VVV##V##V##V###
Base_aucune_025;VVV####CC#C##C#
Base_aucune_026;VVV####CC#C##C#
Base_aucune_027;VVV####CC#C##C#
Base_aucune_028;VVV###CC##C##C#
Base_aucune_029;VVV###CC##C##C#
Base_aucune_030;VVV###CC##C##C#
Base_aucune_031;VVV###CIC#C##C#
Base_aucune_032;VVV###CIC#C##C#
Base_aucune_033;VVV###CIC#C##C#
Base_bouclier_034;VVV#VV#VV#JV###
Base_bouclier_035;VVV#VV#VV##V###
Base_aucune_036;VVV#VV#VV#JV###
Base_aucune_037;VVV#VV#VV##V###
Base_aucune_038;VVV#VV#VV##V###
Base_bouclier_039;VVVVV#V#CVE##C#
Base_bouclier_040;VVVVV#V#CVE##C#
Base_aucune_041;VVVVV#V#CVE##C#
Base_aucune_042;VVVVV#V#CVE##C#
Base_aucune_043;VVVVV#V#CVE##C#
Base_bouclier_044;VVVVVVVVVV#V###
Base_aucune_045;VVVVVVVVVVJV###
Base_aucune_046;VVVVVVVVVV#V###
Base_aucune_047;VVVVVVVVVV#V###
Base_bouclier_048;VVVVVVVVVVVV#C#
Base_bouclier_049;VVVVVVVVVVVV#C#
Base_aucune_050;VVVVVVVVVVVV#C#
Base_aucune_051;#C##CJ#C##C##C#
Base_aucune_052;#C##C##C##C##C#
Base_aucune_053;#C##C##C##C##C#
Base_aucune_054;#C##C##C##C##C#
Base_aucune_055;#C##C##C##C##C#
Base_aucune_056;#C##C##C##C##C#
Base_aucune_057;#C##C##C##C##C#
Base_aucune_058;#C##C##C##C##C#
Base_aucune_059;####J#CC##C##C#
Base_aucune_060;######CC##C##C#
Base_aucune_061;######CC##C##C#
Base_aucune_062;######CC##C##C#
Base_aucune_063;######CC##C##C#
Base_aucune_064;######CC##C##C#
Base_aucune_065;######CC##C##C#
Base_aucune_066;######CC##C##C#
Base_aucune_067;######CC##C##C#
Base_aucune_068;######CIC#C##C#
Base_aucune_069;######CIC#C##C#
Base_aucune_070;######CIC#C##C#
Base_aucune_071;######CIC#C##C#
Base_aucune_072;#C##C#CIC#C##C#
Riviere_demarrage_073;#######R##R##R#
Riviere_aucune_074;VVV#C#RPR#C##C#
Riviere_aucune_075;VVV###RRR###VVV
Riviere_aucune_076;#R##R##R##R##R#
Riviere_aucune_077;VVV#VVREV#RV#R#
Riviere_aucune_078;#R##R##R##R##R#
Riviere_aucune_079;#R##R#RR#######
Riviere_aucune_080;####A#RPR#C##C#
Riviere_aucune_081;#C##C#CGR#R##R#
Riviere_aucune_082;####J##RR#R##R#
Riviere_aucune_083;#R##R#CPC#R##R#
Riviere_fin_084;#R##R##R##R####


















